prompt,completion
Generate a fantasy weapon of type: whip,"Name: Glaive of Victory
Damage Type: Radiant
Damage: 3d6
Properties: Enchanted, Soulbound
Description: When in complete darkness, this whip emits blinding light on command."
Generate a name for a blood crossbow with the following properties: runic,Mithril Spear of Shadows
Write a description for a weapon called 'Mithril Spear of Shadows',"Lich King Morthus's favored crossbow, known to ignites in brilliant flames."
Generate a fantasy weapon of type: crossbow,"Name: Mithril Spear of Shadows
Damage Type: Blood
Damage: 3d6
Properties: Runic
Description: Lich King Morthus's favored crossbow, known to ignites in brilliant flames."
"Generate a name for a force axe with the following properties: balanced, runic, vorpal",Ivory Wand
Write a description for a weapon called 'Ivory Wand',"Wielded long ago by the Dread Pirate Nex, this axe ignites enemies on contact."
Generate a fantasy weapon of type: axe,"Name: Ivory Wand
Damage Type: Force
Damage: 1d6
Properties: Balanced, Runic, Vorpal
Description: Wielded long ago by the Dread Pirate Nex, this axe ignites enemies on contact."
"Generate a name for a thunder wand with the following properties: sentient, mythical, ancient",Quartz Rapier
Write a description for a weapon called 'Quartz Rapier',"Said to have belonged to Blacksmith Durin, this wand can cut through any armor."
Generate a fantasy weapon of type: wand,"Name: Quartz Rapier
Damage Type: Thunder
Damage: 1d10
Properties: Sentient, Mythical, Ancient
Description: Said to have belonged to Blacksmith Durin, this wand can cut through any armor."
"Generate a name for a holy flail with the following properties: mythical, ancient",Saber of exceptional sharpness
Write a description for a weapon called 'Saber of exceptional sharpness',This flail burns with eternal flames when in complete darkness.
Generate a fantasy weapon of type: flail,"Name: Saber of exceptional sharpness
Damage Type: Holy
Damage: 1d12
Properties: Mythical, Ancient
Description: This flail burns with eternal flames when in complete darkness."
"Generate a name for a psychic longbow with the following properties: cursed, vorpal, ancient",Claymore of the Hunt
Write a description for a weapon called 'Claymore of the Hunt',This longbow hums an ancient melody when facing demons or undead.
Generate a fantasy weapon of type: longbow,"Name: Claymore of the Hunt
Damage Type: Psychic
Damage: 2d8
Properties: Cursed, Vorpal, Ancient
Description: This longbow hums an ancient melody when facing demons or undead."
Generate a name for a lightning greataxe with the following properties: ,Glaive of Flames
Write a description for a weapon called 'Glaive of Flames',"Forged in the depths of Dragonheart Caverns, this greataxe sends shivers down one's spine. Small sparks dance across the surface when wielded."
Generate a fantasy weapon of type: greataxe,"Name: Glaive of Flames
Damage Type: Lightning
Damage: 2d4
Properties: 
Description: Forged in the depths of Dragonheart Caverns, this greataxe sends shivers down one's spine. Small sparks dance across the surface when wielded."
Generate a name for a poison claymore with the following properties: ,Mystic Saber
Write a description for a weapon called 'Mystic Saber',This claymore vibrates in the presence of evil when held by a true hero.
Generate a fantasy weapon of type: claymore,"Name: Mystic Saber
Damage Type: Poison
Damage: 2d10
Properties: 
Description: This claymore vibrates in the presence of evil when held by a true hero."
"Generate a name for a psychic halberd with the following properties: balanced, blessed",The Kraken Katana
Write a description for a weapon called 'The Kraken Katana',"This halberd seems to predict its wielder's thoughts, making it deadly precision."
Generate a fantasy weapon of type: halberd,"Name: The Kraken Katana
Damage Type: Psychic
Damage: 2d10
Properties: Balanced, Blessed
Description: This halberd seems to predict its wielder's thoughts, making it deadly precision."
"Generate a name for a arcane crossbow with the following properties: vampiric, enchanted, cursed",Feral Flail of the Ancients
Write a description for a weapon called 'Feral Flail of the Ancients',This crossbow vibrates in the presence of evil when during the heat of battle.
Generate a fantasy weapon of type: crossbow,"Name: Feral Flail of the Ancients
Damage Type: Arcane
Damage: 3d10
Properties: Vampiric, Enchanted, Cursed
Description: This crossbow vibrates in the presence of evil when during the heat of battle."
Generate a name for a acid spear with the following properties: ,Flail of perfect weight
Write a description for a weapon called 'Flail of perfect weight',"the Twilight Assassin's favored spear, known to causes foes to flee in terror."
Generate a fantasy weapon of type: spear,"Name: Flail of perfect weight
Damage Type: Acid
Damage: 1d12
Properties: 
Description: the Twilight Assassin's favored spear, known to causes foes to flee in terror."
Generate a name for a fire scythe with the following properties: soulbound,Chaos Halberd
Write a description for a weapon called 'Chaos Halberd',"Wielded long ago by the Fey Queen, this scythe reveals hidden enemies. The weapon radiates heat and occasionally bursts into flames."
Generate a fantasy weapon of type: scythe,"Name: Chaos Halberd
Damage Type: Fire
Damage: 2d8
Properties: Soulbound
Description: Wielded long ago by the Fey Queen, this scythe reveals hidden enemies. The weapon radiates heat and occasionally bursts into flames."
Generate a name for a necrotic greatsword with the following properties: berserker,Greataxe of Destruction
Write a description for a weapon called 'Greataxe of Destruction',"the Demon Prince's favored greatsword, known to absorbs spells cast at the wielder."
Generate a fantasy weapon of type: greatsword,"Name: Greataxe of Destruction
Damage Type: Necrotic
Damage: 2d6
Properties: Berserker
Description: the Demon Prince's favored greatsword, known to absorbs spells cast at the wielder."
Generate a name for a fire longsword with the following properties: blessed,Eldritch Rapier of Salvation
Write a description for a weapon called 'Eldritch Rapier of Salvation',This longsword leaves shadowy trails when swung when under the light of the stars.
Generate a fantasy weapon of type: longsword,"Name: Eldritch Rapier of Salvation
Damage Type: Fire
Damage: 2d12
Properties: Blessed
Description: This longsword leaves shadowy trails when swung when under the light of the stars."
Generate a name for a holy spear with the following properties: ,Serpent Flail of the Fallen
Write a description for a weapon called 'Serpent Flail of the Fallen',"When held by a true hero, this spear can cut through any armor."
Generate a fantasy weapon of type: spear,"Name: Serpent Flail of the Fallen
Damage Type: Holy
Damage: 1d8
Properties: 
Description: When held by a true hero, this spear can cut through any armor."
"Generate a name for a physical trident with the following properties: sentient, balanced, sharpened",Havoc Mace
Write a description for a weapon called 'Havoc Mace',Legend says this trident was grown from a magical seed. It binds victims in ghostly chains.
Generate a fantasy weapon of type: trident,"Name: Havoc Mace
Damage Type: Physical
Damage: 1d10
Properties: Sentient, Balanced, Sharpened
Description: Legend says this trident was grown from a magical seed. It binds victims in ghostly chains."
"Generate a name for a ice saber with the following properties: runic, legendary, vampiric",Greataxe of Glory
Write a description for a weapon called 'Greataxe of Glory',"This saber drains life from those it cuts, making it deadly precision. A thin layer of frost covers the weapon at all times."
Generate a fantasy weapon of type: saber,"Name: Greataxe of Glory
Damage Type: Ice
Damage: 1d10
Properties: Runic, Legendary, Vampiric
Description: This saber drains life from those it cuts, making it deadly precision. A thin layer of frost covers the weapon at all times."
Generate a name for a thunder maul with the following properties: ethereal,Shadow Hammer
Write a description for a weapon called 'Shadow Hammer',Legend says this maul was constructed by clockwork gnomes. It grows in power during the night.
Generate a fantasy weapon of type: maul,"Name: Shadow Hammer
Damage Type: Thunder
Damage: 2d6
Properties: Ethereal
Description: Legend says this maul was constructed by clockwork gnomes. It grows in power during the night."
"Generate a name for a arcane axe with the following properties: sharpened, blessed, ancient",Radiant Greataxe
Write a description for a weapon called 'Radiant Greataxe',This axe leaves shadowy trails when swung when during the wielder's greatest need.
Generate a fantasy weapon of type: axe,"Name: Radiant Greataxe
Damage Type: Arcane
Damage: 1d8
Properties: Sharpened, Blessed, Ancient
Description: This axe leaves shadowy trails when swung when during the wielder's greatest need."
"Generate a name for a void lance with the following properties: runic, spectral",Tempest Pike of Power
Write a description for a weapon called 'Tempest Pike of Power',"This lance leaves shadowy trails when swung, making it unparalleled balance."
Generate a fantasy weapon of type: lance,"Name: Tempest Pike of Power
Damage Type: Void
Damage: 2d8
Properties: Runic, Spectral
Description: This lance leaves shadowy trails when swung, making it unparalleled balance."
Generate a name for a holy pike with the following properties: spectral,The Oracle Maul
Write a description for a weapon called 'The Oracle Maul',"Wielded long ago by the Demon Prince, this pike returns to the wielder's hand when thrown."
Generate a fantasy weapon of type: pike,"Name: The Oracle Maul
Damage Type: Holy
Damage: 1d8
Properties: Spectral
Description: Wielded long ago by the Demon Prince, this pike returns to the wielder's hand when thrown."
"Generate a name for a wind pike with the following properties: mythical, cursed",The Ivory Longsword
Write a description for a weapon called 'The Ivory Longsword',"A pike of deadly precision, creates illusions to confuse foes upon its enemies."
Generate a fantasy weapon of type: pike,"Name: The Ivory Longsword
Damage Type: Wind
Damage: 1d10
Properties: Mythical, Cursed
Description: A pike of deadly precision, creates illusions to confuse foes upon its enemies."
"Generate a name for a ice glaive with the following properties: ethereal, mythical, runic",Claymore of demonic corruption
Write a description for a weapon called 'Claymore of demonic corruption',"Said to have belonged to the Last Dragon, this glaive returns to the wielder's hand when thrown."
Generate a fantasy weapon of type: glaive,"Name: Claymore of demonic corruption
Damage Type: Ice
Damage: 1d8
Properties: Ethereal, Mythical, Runic
Description: Said to have belonged to the Last Dragon, this glaive returns to the wielder's hand when thrown."
Generate a name for a thunder spear with the following properties: soulbound,Scythe of royal heritage
Write a description for a weapon called 'Scythe of royal heritage',"Said to have belonged to Archmage Vexus, this spear slows time during combat."
Generate a fantasy weapon of type: spear,"Name: Scythe of royal heritage
Damage Type: Thunder
Damage: 1d12
Properties: Soulbound
Description: Said to have belonged to Archmage Vexus, this spear slows time during combat."
Generate a name for a physical trident with the following properties: enchanted,Lunar Greatsword of Souls
Write a description for a weapon called 'Lunar Greatsword of Souls',"This trident radiates with celestial power, making it incredible durability."
Generate a fantasy weapon of type: trident,"Name: Lunar Greatsword of Souls
Damage Type: Physical
Damage: 1d4
Properties: Enchanted
Description: This trident radiates with celestial power, making it incredible durability."
Generate a name for a wind greatsword with the following properties: vampiric,Havoc Staff
Write a description for a weapon called 'Havoc Staff',This greatsword freezes the air around it when facing demons or undead.
Generate a fantasy weapon of type: greatsword,"Name: Havoc Staff
Damage Type: Wind
Damage: 2d6
Properties: Vampiric
Description: This greatsword freezes the air around it when facing demons or undead."
"Generate a name for a nature trident with the following properties: berserker, vorpal, legendary",Bow of terrifying presence
Write a description for a weapon called 'Bow of terrifying presence',Legend says this trident was discovered in a hidden shrine. It summons spectral allies in battle.
Generate a fantasy weapon of type: trident,"Name: Bow of terrifying presence
Damage Type: Nature
Damage: 1d10
Properties: Berserker, Vorpal, Legendary
Description: Legend says this trident was discovered in a hidden shrine. It summons spectral allies in battle."
"Generate a name for a force pike with the following properties: runic, enchanted",The Shadow Saber
Write a description for a weapon called 'The Shadow Saber',"A pike of royal heritage, reveals invisible creatures upon its enemies."
Generate a fantasy weapon of type: pike,"Name: The Shadow Saber
Damage Type: Force
Damage: 1d4
Properties: Runic, Enchanted
Description: A pike of royal heritage, reveals invisible creatures upon its enemies."
Generate a name for a force dagger with the following properties: ,Eldritch Spear
Write a description for a weapon called 'Eldritch Spear',This dagger shifts its form slightly when in complete darkness.
Generate a fantasy weapon of type: dagger,"Name: Eldritch Spear
Damage Type: Force
Damage: 2d6
Properties: 
Description: This dagger shifts its form slightly when in complete darkness."
Generate a name for a blood trident with the following properties: legendary,The Radiant Blade
Write a description for a weapon called 'The Radiant Blade',"This trident seems to predict its wielder's thoughts, making it boundless rage."
Generate a fantasy weapon of type: trident,"Name: The Radiant Blade
Damage Type: Blood
Damage: 1d12
Properties: Legendary
Description: This trident seems to predict its wielder's thoughts, making it boundless rage."
"Generate a name for a nature wand with the following properties: runic, corrupted, vampiric",Maul of Time
Write a description for a weapon called 'Maul of Time',"Said to have belonged to the Demon Prince, this wand returns to the wielder's hand when thrown."
Generate a fantasy weapon of type: wand,"Name: Maul of Time
Damage Type: Nature
Damage: 3d10
Properties: Runic, Corrupted, Vampiric
Description: Said to have belonged to the Demon Prince, this wand returns to the wielder's hand when thrown."
Generate a name for a holy glaive with the following properties: sentient,Nova Maul of Doom
Write a description for a weapon called 'Nova Maul of Doom',Legend says this glaive was stolen from the armory of demons. It drains the magic from spellcasters.
Generate a fantasy weapon of type: glaive,"Name: Nova Maul of Doom
Damage Type: Holy
Damage: 3d8
Properties: Sentient
Description: Legend says this glaive was stolen from the armory of demons. It drains the magic from spellcasters."
"Generate a name for a acid trident with the following properties: spectral, blessed, elemental",Lance of boundless rage
Write a description for a weapon called 'Lance of boundless rage',"A trident of deadly precision, binds victims in ghostly chains upon its enemies."
Generate a fantasy weapon of type: trident,"Name: Lance of boundless rage
Damage Type: Acid
Damage: 3d8
Properties: Spectral, Blessed, Elemental
Description: A trident of deadly precision, binds victims in ghostly chains upon its enemies."
Generate a name for a holy trident with the following properties: vampiric,The Phantom Hammer
Write a description for a weapon called 'The Phantom Hammer',"Forged in the depths of the Shadow Realm, this trident sends shivers down one's spine."
Generate a fantasy weapon of type: trident,"Name: The Phantom Hammer
Damage Type: Holy
Damage: 1d12
Properties: Vampiric
Description: Forged in the depths of the Shadow Realm, this trident sends shivers down one's spine."
Generate a name for a radiant spear with the following properties: enchanted,Zephyr Lance
Write a description for a weapon called 'Zephyr Lance',"Wielded long ago by King Thoran, this spear reveals hidden enemies."
Generate a fantasy weapon of type: spear,"Name: Zephyr Lance
Damage Type: Radiant
Damage: 2d10
Properties: Enchanted
Description: Wielded long ago by King Thoran, this spear reveals hidden enemies."
Generate a name for a psychic falchion with the following properties: enchanted,Shadow Longsword of the Ancients
Write a description for a weapon called 'Shadow Longsword of the Ancients',"Wielded long ago by the Last Dragon, this falchion ignites enemies on contact."
Generate a fantasy weapon of type: falchion,"Name: Shadow Longsword of the Ancients
Damage Type: Psychic
Damage: 2d4
Properties: Enchanted
Description: Wielded long ago by the Last Dragon, this falchion ignites enemies on contact."
"Generate a name for a arcane lance with the following properties: enchanted, ethereal, sentient",Flail of Reckoning
Write a description for a weapon called 'Flail of Reckoning',"This lance leaves shadowy trails when swung, making it unfathomable lightness."
Generate a fantasy weapon of type: lance,"Name: Flail of Reckoning
Damage Type: Arcane
Damage: 2d6
Properties: Enchanted, Ethereal, Sentient
Description: This lance leaves shadowy trails when swung, making it unfathomable lightness."
Generate a name for a lightning greataxe with the following properties: sentient,Ghost Greataxe
Write a description for a weapon called 'Ghost Greataxe',Legend says this greataxe was grown from a magical seed. It creates illusions to confuse foes. Small sparks dance across the surface when wielded.
Generate a fantasy weapon of type: greataxe,"Name: Ghost Greataxe
Damage Type: Lightning
Damage: 3d6
Properties: Sentient
Description: Legend says this greataxe was grown from a magical seed. It creates illusions to confuse foes. Small sparks dance across the surface when wielded."
"Generate a name for a arcane hammer with the following properties: legendary, soulbound",Bow of Flames
Write a description for a weapon called 'Bow of Flames',"Forged in the depths of the Abyssal Depths, this hammer radiates with celestial power."
Generate a fantasy weapon of type: hammer,"Name: Bow of Flames
Damage Type: Arcane
Damage: 1d10
Properties: Legendary, Soulbound
Description: Forged in the depths of the Abyssal Depths, this hammer radiates with celestial power."
"Generate a name for a chaos rapier with the following properties: balanced, runic",Infernal Saber
Write a description for a weapon called 'Infernal Saber',"Forged in the depths of the Eternal Forge, this rapier never requires sharpening."
Generate a fantasy weapon of type: rapier,"Name: Infernal Saber
Damage Type: Chaos
Damage: 1d8
Properties: Balanced, Runic
Description: Forged in the depths of the Eternal Forge, this rapier never requires sharpening."
Generate a name for a necrotic crossbow with the following properties: ,Frost Axe
Write a description for a weapon called 'Frost Axe',Legend says this crossbow was pulled from the heart of a volcano. It ignites in brilliant flames.
Generate a fantasy weapon of type: crossbow,"Name: Frost Axe
Damage Type: Necrotic
Damage: 3d6
Properties: 
Description: Legend says this crossbow was pulled from the heart of a volcano. It ignites in brilliant flames."
Generate a name for a void hammer with the following properties: ,Blazing Katana of the Ancients
Write a description for a weapon called 'Blazing Katana of the Ancients',This hammer feels impossibly light when during the heat of battle.
Generate a fantasy weapon of type: hammer,"Name: Blazing Katana of the Ancients
Damage Type: Void
Damage: 2d6
Properties: 
Description: This hammer feels impossibly light when during the heat of battle."
"Generate a name for a thunder crossbow with the following properties: corrupted, sharpened",Mace of terrifying presence
Write a description for a weapon called 'Mace of terrifying presence',"Wielded long ago by High Priestess Lunara, this crossbow can cleave through stone."
Generate a fantasy weapon of type: crossbow,"Name: Mace of terrifying presence
Damage Type: Thunder
Damage: 2d12
Properties: Corrupted, Sharpened
Description: Wielded long ago by High Priestess Lunara, this crossbow can cleave through stone."
Generate a name for a thunder bow with the following properties: ,Pike of Frost
Write a description for a weapon called 'Pike of Frost',Legend says this bow was pulled from the heart of a volcano. It cleaves through reality itself.
Generate a fantasy weapon of type: bow,"Name: Pike of Frost
Damage Type: Thunder
Damage: 1d8
Properties: 
Description: Legend says this bow was pulled from the heart of a volcano. It cleaves through reality itself."
Generate a name for a radiant dagger with the following properties: ,Longbow of mysterious origins
Write a description for a weapon called 'Longbow of mysterious origins',Legend says this dagger was born from the tears of a goddess. It howls with the voices of past victims.
Generate a fantasy weapon of type: dagger,"Name: Longbow of mysterious origins
Damage Type: Radiant
Damage: 1d10
Properties: 
Description: Legend says this dagger was born from the tears of a goddess. It howls with the voices of past victims."
Generate a name for a necrotic trident with the following properties: ,Greataxe of the Void
Write a description for a weapon called 'Greataxe of the Void',"Wielded long ago by Archmage Vexus, this trident can cut through any armor."
Generate a fantasy weapon of type: trident,"Name: Greataxe of the Void
Damage Type: Necrotic
Damage: 3d6
Properties: 
Description: Wielded long ago by Archmage Vexus, this trident can cut through any armor."
Generate a name for a radiant greatsword with the following properties: ,Hammer of the Ancients
Write a description for a weapon called 'Hammer of the Ancients',"Said to have belonged to Emperor Valorian, this greatsword emits blinding light on command."
Generate a fantasy weapon of type: greatsword,"Name: Hammer of the Ancients
Damage Type: Radiant
Damage: 3d12
Properties: 
Description: Said to have belonged to Emperor Valorian, this greatsword emits blinding light on command."
Generate a name for a wind rapier with the following properties: berserker,Thunder Whip
Write a description for a weapon called 'Thunder Whip',Legend says this rapier was forged in dragon fire. It grows in power during the night.
Generate a fantasy weapon of type: rapier,"Name: Thunder Whip
Damage Type: Wind
Damage: 2d10
Properties: Berserker
Description: Legend says this rapier was forged in dragon fire. It grows in power during the night."
"Generate a name for a psychic glaive with the following properties: mythical, cursed",Blazing Flail of the Fallen
Write a description for a weapon called 'Blazing Flail of the Fallen',"Wielded long ago by King Thoran, this glaive reveals hidden enemies."
Generate a fantasy weapon of type: glaive,"Name: Blazing Flail of the Fallen
Damage Type: Psychic
Damage: 2d12
Properties: Mythical, Cursed
Description: Wielded long ago by King Thoran, this glaive reveals hidden enemies."
"Generate a name for a nature rapier with the following properties: elemental, spectral, mythical",The Arcane Longbow
Write a description for a weapon called 'The Arcane Longbow',"A rapier carved from a single crystal, it heals the wielder with each strike with every strike."
Generate a fantasy weapon of type: rapier,"Name: The Arcane Longbow
Damage Type: Nature
Damage: 3d4
Properties: Elemental, Spectral, Mythical
Description: A rapier carved from a single crystal, it heals the wielder with each strike with every strike."
"Generate a name for a wind glaive with the following properties: balanced, legendary, elemental",Dagger of perfect weight
Write a description for a weapon called 'Dagger of perfect weight',"This glaive drains life from those it cuts, making it unfathomable lightness."
Generate a fantasy weapon of type: glaive,"Name: Dagger of perfect weight
Damage Type: Wind
Damage: 3d10
Properties: Balanced, Legendary, Elemental
Description: This glaive drains life from those it cuts, making it unfathomable lightness."
Generate a name for a arcane flail with the following properties: ,Saber of Glory
Write a description for a weapon called 'Saber of Glory',"When confronting ancient evils, this flail reveals hidden enemies."
Generate a fantasy weapon of type: flail,"Name: Saber of Glory
Damage Type: Arcane
Damage: 2d4
Properties: 
Description: When confronting ancient evils, this flail reveals hidden enemies."
"Generate a name for a physical flail with the following properties: berserker, ethereal, runic",Claymore of ancient wisdom
Write a description for a weapon called 'Claymore of ancient wisdom',This flail drains life from those it cuts when during the heat of battle.
Generate a fantasy weapon of type: flail,"Name: Claymore of ancient wisdom
Damage Type: Physical
Damage: 3d4
Properties: Berserker, Ethereal, Runic
Description: This flail drains life from those it cuts when during the heat of battle."
Generate a name for a chaos bow with the following properties: runic,Greataxe of Doom
Write a description for a weapon called 'Greataxe of Doom',"A bow of deadly precision, heals the wielder with each strike upon its enemies."
Generate a fantasy weapon of type: bow,"Name: Greataxe of Doom
Damage Type: Chaos
Damage: 1d8
Properties: Runic
Description: A bow of deadly precision, heals the wielder with each strike upon its enemies."
Generate a name for a nature shortbow with the following properties: ,Axe of perfect weight
Write a description for a weapon called 'Axe of perfect weight',"Wielded long ago by the Last Dragon, this shortbow binds the souls of those it slays."
Generate a fantasy weapon of type: shortbow,"Name: Axe of perfect weight
Damage Type: Nature
Damage: 3d8
Properties: 
Description: Wielded long ago by the Last Dragon, this shortbow binds the souls of those it slays."
"Generate a name for a necrotic blade with the following properties: balanced, ethereal",The Blazing Pike
Write a description for a weapon called 'The Blazing Pike',"When in complete darkness, this blade reveals hidden enemies."
Generate a fantasy weapon of type: blade,"Name: The Blazing Pike
Damage Type: Necrotic
Damage: 2d8
Properties: Balanced, Ethereal
Description: When in complete darkness, this blade reveals hidden enemies."
"Generate a name for a wind saber with the following properties: corrupted, enchanted, sharpened",Greatsword of Shadows
Write a description for a weapon called 'Greatsword of Shadows',"the Last Dragon's favored saber, known to reveals invisible creatures."
Generate a fantasy weapon of type: saber,"Name: Greatsword of Shadows
Damage Type: Wind
Damage: 1d8
Properties: Corrupted, Enchanted, Sharpened
Description: the Last Dragon's favored saber, known to reveals invisible creatures."
"Generate a name for a lightning pike with the following properties: blessed, corrupted, berserker",Mace of the Void
Write a description for a weapon called 'Mace of the Void',"Said to have belonged to Blacksmith Durin, this pike protects against dark magic."
Generate a fantasy weapon of type: pike,"Name: Mace of the Void
Damage Type: Lightning
Damage: 2d10
Properties: Blessed, Corrupted, Berserker
Description: Said to have belonged to Blacksmith Durin, this pike protects against dark magic."
"Generate a name for a physical shortbow with the following properties: sentient, berserker, sharpened",Saber of incredible durability
Write a description for a weapon called 'Saber of incredible durability',"A shortbow of ancient wisdom, disrupts magical barriers upon its enemies."
Generate a fantasy weapon of type: shortbow,"Name: Saber of incredible durability
Damage Type: Physical
Damage: 2d10
Properties: Sentient, Berserker, Sharpened
Description: A shortbow of ancient wisdom, disrupts magical barriers upon its enemies."
Generate a name for a fire maul with the following properties: ,Jade Hammer
Write a description for a weapon called 'Jade Hammer',"the Twilight Assassin's favored maul, known to absorbs spells cast at the wielder. The weapon radiates heat and occasionally bursts into flames."
Generate a fantasy weapon of type: maul,"Name: Jade Hammer
Damage Type: Fire
Damage: 2d10
Properties: 
Description: the Twilight Assassin's favored maul, known to absorbs spells cast at the wielder. The weapon radiates heat and occasionally bursts into flames."
Generate a name for a necrotic rapier with the following properties: ,The Xenith Rapier
Write a description for a weapon called 'The Xenith Rapier',"Forged in the depths of the Emerald Valley, this rapier burns with eternal flames."
Generate a fantasy weapon of type: rapier,"Name: The Xenith Rapier
Damage Type: Necrotic
Damage: 1d6
Properties: 
Description: Forged in the depths of the Emerald Valley, this rapier burns with eternal flames."
"Generate a name for a nature halberd with the following properties: ancient, vorpal, enchanted",Saber of unfathomable lightness
Write a description for a weapon called 'Saber of unfathomable lightness',"Wielded long ago by the Dread Pirate Nex, this halberd never misses its target."
Generate a fantasy weapon of type: halberd,"Name: Saber of unfathomable lightness
Damage Type: Nature
Damage: 2d12
Properties: Ancient, Vorpal, Enchanted
Description: Wielded long ago by the Dread Pirate Nex, this halberd never misses its target."
Generate a name for a wind sword with the following properties: runic,Lunar Rapier of Shadows
Write a description for a weapon called 'Lunar Rapier of Shadows',"Forged in the depths of the Shadow Realm, this sword vibrates in the presence of evil."
Generate a fantasy weapon of type: sword,"Name: Lunar Rapier of Shadows
Damage Type: Wind
Damage: 3d4
Properties: Runic
Description: Forged in the depths of the Shadow Realm, this sword vibrates in the presence of evil."
"Generate a name for a necrotic maul with the following properties: ancient, vorpal, sentient",Crossbow of royal heritage
Write a description for a weapon called 'Crossbow of royal heritage',"Said to have belonged to Queen Elyndra, this maul returns to the wielder's hand when thrown."
Generate a fantasy weapon of type: maul,"Name: Crossbow of royal heritage
Damage Type: Necrotic
Damage: 3d4
Properties: Ancient, Vorpal, Sentient
Description: Said to have belonged to Queen Elyndra, this maul returns to the wielder's hand when thrown."
"Generate a name for a fire lance with the following properties: runic, spectral, vampiric",Nova Rapier
Write a description for a weapon called 'Nova Rapier',"When under the light of the stars, this lance freezes foes with a touch. The weapon radiates heat and occasionally bursts into flames."
Generate a fantasy weapon of type: lance,"Name: Nova Rapier
Damage Type: Fire
Damage: 3d12
Properties: Runic, Spectral, Vampiric
Description: When under the light of the stars, this lance freezes foes with a touch. The weapon radiates heat and occasionally bursts into flames."
"Generate a name for a physical longbow with the following properties: sentient, ancient, vampiric",Bow of Despair
Write a description for a weapon called 'Bow of Despair',"Forged in the depths of the Shadow Realm, this longbow leaves shadowy trails when swung."
Generate a fantasy weapon of type: longbow,"Name: Bow of Despair
Damage Type: Physical
Damage: 1d8
Properties: Sentient, Ancient, Vampiric
Description: Forged in the depths of the Shadow Realm, this longbow leaves shadowy trails when swung."
"Generate a name for a chaos rapier with the following properties: soulbound, runic",Serpent Greatsword
Write a description for a weapon called 'Serpent Greatsword',"A rapier of boundless rage, grows in power during the night upon its enemies."
Generate a fantasy weapon of type: rapier,"Name: Serpent Greatsword
Damage Type: Chaos
Damage: 2d6
Properties: Soulbound, Runic
Description: A rapier of boundless rage, grows in power during the night upon its enemies."
"Generate a name for a ice trident with the following properties: elemental, ancient, vampiric",Wand of boundless rage
Write a description for a weapon called 'Wand of boundless rage',"This trident vibrates in the presence of evil, making it perfect weight. A thin layer of frost covers the weapon at all times."
Generate a fantasy weapon of type: trident,"Name: Wand of boundless rage
Damage Type: Ice
Damage: 3d4
Properties: Elemental, Ancient, Vampiric
Description: This trident vibrates in the presence of evil, making it perfect weight. A thin layer of frost covers the weapon at all times."
"Generate a name for a poison longsword with the following properties: elemental, ancient",Rapier of incredible durability
Write a description for a weapon called 'Rapier of incredible durability',"Said to have belonged to Blacksmith Durin, this longsword binds the souls of those it slays."
Generate a fantasy weapon of type: longsword,"Name: Rapier of incredible durability
Damage Type: Poison
Damage: 1d10
Properties: Elemental, Ancient
Description: Said to have belonged to Blacksmith Durin, this longsword binds the souls of those it slays."
"Generate a name for a thunder longbow with the following properties: enchanted, cursed",Undying Hammer of Flames
Write a description for a weapon called 'Undying Hammer of Flames',"the Twilight Assassin's favored longbow, known to disrupts magical barriers."
Generate a fantasy weapon of type: longbow,"Name: Undying Hammer of Flames
Damage Type: Thunder
Damage: 3d4
Properties: Enchanted, Cursed
Description: the Twilight Assassin's favored longbow, known to disrupts magical barriers."
Generate a name for a physical dagger with the following properties: ,The Kraken Blade
Write a description for a weapon called 'The Kraken Blade',"Blacksmith Durin's favored dagger, known to summons spectral allies in battle."
Generate a fantasy weapon of type: dagger,"Name: The Kraken Blade
Damage Type: Physical
Damage: 2d6
Properties: 
Description: Blacksmith Durin's favored dagger, known to summons spectral allies in battle."
Generate a name for a void bow with the following properties: ,Shortbow of the Void
Write a description for a weapon called 'Shortbow of the Void',"Forged in the depths of the Abyssal Depths, this bow vibrates in the presence of evil."
Generate a fantasy weapon of type: bow,"Name: Shortbow of the Void
Damage Type: Void
Damage: 2d6
Properties: 
Description: Forged in the depths of the Abyssal Depths, this bow vibrates in the presence of evil."
"Generate a name for a wind pike with the following properties: spectral, corrupted, ancient",Ghost Blade
Write a description for a weapon called 'Ghost Blade',Legend says this pike was constructed by clockwork gnomes. It marks enemies for hunting.
Generate a fantasy weapon of type: pike,"Name: Ghost Blade
Damage Type: Wind
Damage: 3d6
Properties: Spectral, Corrupted, Ancient
Description: Legend says this pike was constructed by clockwork gnomes. It marks enemies for hunting."
"Generate a name for a acid glaive with the following properties: berserker, runic, spectral",Thunder Rapier of Eternity
Write a description for a weapon called 'Thunder Rapier of Eternity',"Archmage Vexus's favored glaive, known to ignites in brilliant flames."
Generate a fantasy weapon of type: glaive,"Name: Thunder Rapier of Eternity
Damage Type: Acid
Damage: 3d4
Properties: Berserker, Runic, Spectral
Description: Archmage Vexus's favored glaive, known to ignites in brilliant flames."
"Generate a name for a acid whip with the following properties: ancient, enchanted, legendary",Flail of Darkness
Write a description for a weapon called 'Flail of Darkness',This whip hums an ancient melody when held by a true hero.
